proposed_id	label	definition	definition_source	parent	synonyms	xrefs	subset	priority	observations	traits_addressed
ID	LABEL	A IAO:0000115	>A IAO:0000119	SC %	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasDbXref SPLIT=|	A oboInOwl:inSubset			
METPO:1007100	microbial community	A collection of microorganisms (bacteria, archaea, microeukaryotes) that co-occur in a defined habitat and whose members can be linked by ecological interactions, shared environmental factors, and shared evidence sources. Top-level entry point for CommunityMech-lifted classes.	CommunityMech:communitymech.yaml#MicrobialCommunity	METPO:1000000	microbial consortium|microbiome|microbial assemblage		metpo_communitymech_2026_05	HIGH		root domain class
METPO:1007101	microbial community ecological interaction	An ecological interaction between two or more microbial community members (or between the community and an emergent property), characterized by a directionality, a type (e.g., mutualism, competition), and supporting evidence.	CommunityMech:communitymech.yaml#EcologicalInteraction	METPO:1000000	microbial community interaction|microbial ecological interaction		metpo_communitymech_2026_05	HIGH		root domain class
METPO:1007102	microbial community evidence item	A reference-anchored piece of evidence (publication snippet plus citation) used to substantiate a claim about a microbial community or one of its ecological interactions.	CommunityMech:communitymech.yaml#EvidenceItem	METPO:1000000	evidence item|community claim evidence		metpo_communitymech_2026_05	HIGH		root domain class
METPO:1007103	microbial community member functional role	A functional role played by a microbial community member, describing its position in the community's trophic and metabolic network.	CommunityMech:communitymech.yaml#FunctionalRoleEnum	METPO:1007100	community member role|community functional role		metpo_communitymech_2026_05	HIGH		enum-parent for FunctionalRoleEnum
METPO:1007104	primary trophic role	A community functional role in which the organism initiates carbon and energy flow into the community by fixing inorganic carbon or by degrading complex polymeric substrates that other members cannot directly use.	CommunityMech:proposals/metpo_communitymech_v1/proposal.md#hierarchy-decisions	METPO:1007103	primary producer or degrader role		metpo_communitymech_2026_05	HIGH		intermediate parent for FunctionalRoleEnum primary tier
METPO:1007105	secondary trophic role	A community functional role in which the organism depends on metabolites produced by primary members of the community, including fermentation, syntrophic, and cross-feeding lifestyles.	CommunityMech:proposals/metpo_communitymech_v1/proposal.md#hierarchy-decisions	METPO:1007103	dependent trophic role		metpo_communitymech_2026_05	HIGH		intermediate parent for FunctionalRoleEnum secondary tier
METPO:1007106	primary producer role	The functional role of a community member that fixes inorganic carbon (autotroph), providing reduced organic carbon to other community members.	CommunityMech:communitymech.yaml#FunctionalRoleEnum.PRIMARY_PRODUCER	METPO:1007104	autotroph role|carbon fixer role		metpo_communitymech_2026_05	HIGH		FunctionalRoleEnum.PRIMARY_PRODUCER
METPO:1007107	primary degrader role	The functional role of a community member that degrades complex polymeric substrates (e.g., cellulose, chitin, hydrocarbons), releasing oligomeric or monomeric products that other members can consume.	CommunityMech:communitymech.yaml#FunctionalRoleEnum.PRIMARY_DEGRADER	METPO:1007104	hydrolyzer role|polymer degrader role		metpo_communitymech_2026_05	HIGH		FunctionalRoleEnum.PRIMARY_DEGRADER
METPO:1007108	secondary fermenter role	The functional role of a community member that ferments the products released by primary degraders into smaller organic acids, alcohols, hydrogen, and CO2.	CommunityMech:communitymech.yaml#FunctionalRoleEnum.SECONDARY_FERMENTER	METPO:1007105	fermenter role		metpo_communitymech_2026_05	HIGH		FunctionalRoleEnum.SECONDARY_FERMENTER
METPO:1007109	syntrophic partner role	The functional role of a community member that engages in obligate metabolic cooperation (syntrophy) with another member, typically through interspecies electron, hydrogen, or formate transfer.	CommunityMech:communitymech.yaml#FunctionalRoleEnum.SYNTROPHIC_PARTNER	METPO:1007105	syntroph role		metpo_communitymech_2026_05	HIGH		FunctionalRoleEnum.SYNTROPHIC_PARTNER
METPO:1007110	cross-feeder role	The functional role of a community member that utilizes metabolites secreted or produced by other community members without requiring obligate physical or metabolic coupling.	CommunityMech:communitymech.yaml#FunctionalRoleEnum.CROSS_FEEDER	METPO:1007105	metabolite cross-feeder role		metpo_communitymech_2026_05	HIGH		FunctionalRoleEnum.CROSS_FEEDER
METPO:1007120	ecological interaction type	A typology of ecological interactions between microbial community members, organized by interaction valence (positive, negative, partitioning) and by intra- vs interspecific scope.	CommunityMech:communitymech.yaml#InteractionTypeEnum	METPO:1007101	interaction type|interaction valence class		metpo_communitymech_2026_05	HIGH		enum-parent for InteractionTypeEnum
METPO:1007121	positive ecological interaction	An ecological interaction in which at least one participant benefits (+/+, +/0) without the other being harmed. Includes mutualism, commensalism, cross-feeding, syntrophy, and colonization facilitation.	CommunityMech:proposals/metpo_communitymech_v1/proposal.md#hierarchy-decisions	METPO:1007120	positive-valence interaction		metpo_communitymech_2026_05	HIGH		intermediate parent grouping positive interactions
METPO:1007122	negative ecological interaction	An ecological interaction in which at least one participant is harmed (-/-, +/-). Includes competition (interspecific and intraspecific) and predation.	CommunityMech:proposals/metpo_communitymech_v1/proposal.md#hierarchy-decisions	METPO:1007120	negative-valence interaction		metpo_communitymech_2026_05	HIGH		intermediate parent grouping negative interactions
METPO:1007123	partitioning ecological interaction	An ecological interaction in which participants coexist by occupying distinct ecological niches (spatially, temporally, or by substrate), reducing direct competition without conferring a clear positive or negative outcome.	CommunityMech:proposals/metpo_communitymech_v1/proposal.md#hierarchy-decisions	METPO:1007120	niche-partitioning interaction		metpo_communitymech_2026_05	HIGH		intermediate parent grouping partitioning interactions
METPO:1007124	mutualism interaction	An ecological interaction in which both participants benefit (+/+).	CommunityMech:communitymech.yaml#InteractionTypeEnum.MUTUALISM	METPO:1007121	mutualistic interaction|symbiotic mutualism		metpo_communitymech_2026_05	HIGH		InteractionTypeEnum.MUTUALISM
METPO:1007125	commensalism interaction	An ecological interaction in which one participant benefits while the other is unaffected (+/0).	CommunityMech:communitymech.yaml#InteractionTypeEnum.COMMENSALISM	METPO:1007121	commensal interaction		metpo_communitymech_2026_05	HIGH		InteractionTypeEnum.COMMENSALISM
METPO:1007126	cross-feeding interaction	An ecological interaction characterized by exchange of metabolites between organisms, where one organism's metabolic byproduct is consumed by another.	CommunityMech:communitymech.yaml#InteractionTypeEnum.CROSS_FEEDING	METPO:1007121	metabolite cross-feeding|metabolic exchange interaction		metpo_communitymech_2026_05	HIGH		InteractionTypeEnum.CROSS_FEEDING
METPO:1007127	syntrophy interaction	An ecological interaction characterized by obligate metabolic cooperation between organisms, typically involving interspecies electron, hydrogen, or formate transfer that is thermodynamically infeasible for either partner alone.	CommunityMech:communitymech.yaml#InteractionTypeEnum.SYNTROPHY	METPO:1007121	syntrophic interaction|interspecies electron transfer interaction		metpo_communitymech_2026_05	HIGH		InteractionTypeEnum.SYNTROPHY
METPO:1007128	colonization facilitation interaction	An ecological interaction in which one organism facilitates the colonization or establishment of another through priority effects, niche modification, or cross-feeding that supports early-stage establishment.	CommunityMech:communitymech.yaml#InteractionTypeEnum.COLONIZATION_FACILITATION	METPO:1007121	priority-effect facilitation|colonization priming		metpo_communitymech_2026_05	HIGH		InteractionTypeEnum.COLONIZATION_FACILITATION
METPO:1007129	competition interaction	An ecological interaction in which both participants are negatively affected (-/-) through shared use of a limiting resource or active inhibition. Captures interspecific competition; intraspecific strain-level competition is the child class METPO:1007130.	CommunityMech:communitymech.yaml#InteractionTypeEnum.COMPETITION	METPO:1007122	interspecific competition|resource competition		metpo_communitymech_2026_05	HIGH		InteractionTypeEnum.COMPETITION
METPO:1007130	strain competition interaction	An ecological interaction in which two closely related strains of the same species compete through allelopathy, resource competition, or interference competition. Subclass of competition interaction, distinguished by intraspecific scope.	CommunityMech:communitymech.yaml#InteractionTypeEnum.STRAIN_COMPETITION	METPO:1007129	intraspecific strain competition|allelopathy interaction		metpo_communitymech_2026_05	HIGH		InteractionTypeEnum.STRAIN_COMPETITION
METPO:1007131	predation interaction	An ecological interaction in which one participant benefits at the cost of the other (+/-), typically through direct consumption (e.g., Bdellovibrio attack, protozoan grazing, phage lysis).	CommunityMech:communitymech.yaml#InteractionTypeEnum.PREDATION	METPO:1007122	predator-prey interaction|grazing		metpo_communitymech_2026_05	HIGH		InteractionTypeEnum.PREDATION
METPO:1007132	niche partitioning interaction	An ecological interaction in which strains or species occupy distinct ecological niches (spatial, temporal, or substrate-based), reducing direct competition. Common in intraspecific strain dynamics where closely related organisms coexist by utilizing different microhabitats or resources.	CommunityMech:communitymech.yaml#InteractionTypeEnum.NICHE_PARTITIONING	METPO:1007123	niche differentiation|resource partitioning		metpo_communitymech_2026_05	HIGH		InteractionTypeEnum.NICHE_PARTITIONING
METPO:1007140	interaction scope	The scope of an ecological interaction, distinguishing pairwise organism-level edges from community-wide emergent phenomena.	CommunityMech:communitymech.yaml#InteractionScopeEnum	METPO:1007101	scope of interaction		metpo_communitymech_2026_05	HIGH		enum-parent for InteractionScopeEnum
METPO:1007141	pairwise interaction scope	An interaction scope value indicating a standard pairwise edge between an identified source organism and a target. Source taxon is required at this scope.	CommunityMech:communitymech.yaml#InteractionScopeEnum.PAIRWISE	METPO:1007140	pairwise interaction		metpo_communitymech_2026_05	HIGH		InteractionScopeEnum.PAIRWISE
METPO:1007142	community-level interaction scope	An interaction scope value indicating a community-wide or emergent phenomenon (e.g., division of labor, host-microbiota colonization patterns, abiotic-input-driven processes such as electrolysis-supplied H2) for which no single organism is the source.	CommunityMech:communitymech.yaml#InteractionScopeEnum.COMMUNITY_LEVEL	METPO:1007140	emergent community interaction|community-wide interaction		metpo_communitymech_2026_05	HIGH		InteractionScopeEnum.COMMUNITY_LEVEL
METPO:1007150	evidence item support level	The relationship between a cited reference and the claim it is cited for, ranging from direct support through partial support, no evidence, misattribution, and active contradiction.	CommunityMech:communitymech.yaml#EvidenceItemSupportEnum	METPO:1007102	support level		metpo_communitymech_2026_05	HIGH		enum-parent for EvidenceItemSupportEnum
METPO:1007151	evidence supports claim	An evidence-support level indicating that the cited reference directly supports the claim; the snippet is a substring of the reference and the surrounding context endorses the interaction or property as stated.	CommunityMech:communitymech.yaml#EvidenceItemSupportEnum.SUPPORT	METPO:1007150	supporting evidence|direct support		metpo_communitymech_2026_05	HIGH		EvidenceItemSupportEnum.SUPPORT
METPO:1007152	evidence partially supports claim	An evidence-support level indicating that the cited reference supports part but not all of the claim (e.g., supports the mechanism but not the specific site, taxa, or quantitative figure asserted; or supports a related but weaker version of the claim).	CommunityMech:communitymech.yaml#EvidenceItemSupportEnum.PARTIAL	METPO:1007150	partial support		metpo_communitymech_2026_05	HIGH		EvidenceItemSupportEnum.PARTIAL
METPO:1007153	evidence refutes claim	An evidence-support level indicating that the cited reference actively contradicts the claim (e.g., reports the opposite effect, or shows the proposed mechanism does not occur under the cited conditions).	CommunityMech:communitymech.yaml#EvidenceItemSupportEnum.REFUTE	METPO:1007150	contradicting evidence|refuting evidence		metpo_communitymech_2026_05	HIGH		EvidenceItemSupportEnum.REFUTE
METPO:1007154	evidence does not address claim	An evidence-support level indicating that the cited reference does not contain a passage that addresses the claim. Used when the paper is on-topic and a reference is required by the schema, but the curator could not locate a supporting or contradicting excerpt. Stronger than 'evidence misattributed' (which signals misattribution) and weaker than 'evidence refutes claim'.	CommunityMech:communitymech.yaml#EvidenceItemSupportEnum.NO_EVIDENCE	METPO:1007150	no evidence found|on-topic but unsupported		metpo_communitymech_2026_05	HIGH		EvidenceItemSupportEnum.NO_EVIDENCE
